C	C_loss	Dose
1	0	0.0001
0.707159	0.292841	7.07159e-05
0.500074	0.499926	5.00074e-05
0.353631	0.646369	3.53631e-05
0.250074	0.749926	2.50074e-05
0.176842	0.823158	1.76842e-05
0.125055	0.874945	1.25055e-05
0.0884339	0.911566	8.84339e-06
0.0625368	0.937463	6.25368e-06
0.0442235	0.955777	4.42235e-06
0.031273	0.968727	3.1273e-06
0.022115	0.977885	2.2115e-06
0.0156388	0.984361	1.56388e-06
0.0110591	0.988941	1.10591e-06
0.00782055	0.992179	7.82055e-07
0.00553037	0.99447	5.53037e-07
0.00391085	0.996089	3.91085e-07
0.00276559	0.997234	2.76559e-07
0.00195571	0.998044	1.95571e-07
0.001383	0.998617	1.383e-07
0.000978001	0.999022	9.78001e-08
0.000691602	0.999308	6.91602e-08
0.000489072	0.999511	4.89072e-08
0.000345852	0.999654	3.45852e-08
0.000244572	0.999755	2.44572e-08
0.000172951	0.999827	1.72951e-08
0.000122304	0.999878	1.22304e-08
8.64884e-05	0.999914	8.64884e-09
6.11611e-05	0.999939	6.11611e-09
4.32506e-05	0.999957	4.32506e-09
3.0585e-05	0.999969	3.0585e-09
2.16285e-05	0.999978	2.16285e-09
1.52948e-05	0.999985	1.52948e-09
1.08158e-05	0.999989	1.08158e-09
7.64851e-06	0.999992	7.64851e-10
5.40871e-06	0.999995	5.40871e-10
3.82482e-06	0.999996	3.82482e-10
2.70475e-06	0.999997	2.70475e-10
1.91269e-06	0.999998	1.91269e-10
1.35258e-06	0.999999	1.35258e-10
9.56486e-07	0.999999	9.56486e-11
6.76387e-07	0.999999	6.76387e-11
4.78313e-07	1	4.78313e-11
3.38243e-07	1	3.38243e-11
2.39192e-07	1	2.39192e-11
1.69147e-07	1	1.69147e-11
1.19614e-07	1	1.19614e-11
8.45858e-08	1	8.45858e-12
5.98156e-08	1	5.98156e-12
4.22991e-08	1	4.22991e-12
2.99122e-08	1	2.99122e-12
2.11527e-08	1	2.11527e-12
1.49583e-08	1	1.49583e-12
1.05779e-08	1	1.05779e-12
7.48025e-09	1	7.48025e-13
5.28972e-09	1	5.28972e-13
3.74067e-09	1	3.74067e-13
2.64525e-09	1	2.64525e-13
1.87061e-09	1	1.87061e-13
1.32282e-09	1	1.32282e-13
9.35444e-10	1	9.35444e-14
6.61507e-10	1	6.61507e-14
4.67791e-10	1	4.67791e-14
3.30802e-10	1	3.30802e-14
2.3393e-10	1	2.3393e-14
1.65426e-10	1	1.65426e-14
1.16982e-10	1	1.16982e-14
8.27249e-11	1	8.27249e-15
5.84997e-11	1	5.84997e-15
4.13686e-11	1	4.13686e-15
2.92541e-11	1	2.92541e-15
2.06873e-11	1	2.06873e-15
1.46292e-11	1	1.46292e-15
1.03452e-11	1	1.03452e-15
7.31569e-12	1	7.31569e-16
5.17335e-12	1	5.17335e-16
3.65838e-12	1	3.65838e-16
2.58706e-12	1	2.58706e-16
1.82946e-12	1	1.82946e-16
1.29372e-12	1	1.29372e-16
9.14865e-13	1	9.14865e-17
6.46955e-13	1	6.46955e-17
4.575e-13	1	4.575e-17
3.23525e-13	1	3.23525e-17
2.28784e-13	1	2.28784e-17
1.61786e-13	1	1.61786e-17
1.14409e-13	1	1.14409e-17
8.09051e-14	1	8.09051e-18
5.72127e-14	1	5.72127e-18
4.04585e-14	1	4.04585e-18
2.86106e-14	1	2.86106e-18
2.02322e-14	1	2.02322e-18
1.43074e-14	1	1.43074e-18
1.01176e-14	1	1.01176e-18
7.15475e-15	1	7.15475e-19
5.05954e-15	1	5.05954e-19
3.5779e-15	1	3.5779e-19
2.53014e-15	1	2.53014e-19
1.78921e-15	1	1.78921e-19
1.26526e-15	1	1.26526e-19
8.94739e-16	1	8.94739e-20
