Source,CH1,CH2,CH3,CH4
Second,Value,Value,Value,Value
-3.500000E-07,-5.600001E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-3.480000E-07,-4.000000E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-3.460000E-07,-4.799999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-3.440000E-07,-4.799999E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-3.420000E-07,-4.799999E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-3.400000E-07,-4.000000E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-3.380000E-07,-7.199999E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-3.360000E-07,-3.199999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-3.340000E-07,-7.199999E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-3.320000E-07,-4.799999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-3.300000E-07,-4.799999E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-3.280000E-07,-4.000000E-04,+1.199998E-03,-1.000000E-02,-1.810000E+00
-3.260000E-07,-7.199999E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-3.240000E-07,-3.199999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-3.220000E-07,-6.800001E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-3.200000E-07,-5.600001E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-3.180000E-07,-4.400001E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-3.160000E-07,-4.799999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-3.140000E-07,-8.000000E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-3.120000E-07,-4.000000E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-3.100000E-07,-7.199999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-3.080000E-07,-4.400001E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-3.060000E-07,-5.200000E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-3.040000E-07,-5.600001E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-3.020000E-07,-8.000000E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-3.000000E-07,-3.599999E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-2.980000E-07,-5.200000E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.960000E-07,-5.600001E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-2.940000E-07,-4.000000E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-2.920000E-07,-3.599999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.900000E-07,-8.000000E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-2.880000E-07,-2.400000E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.860000E-07,-5.600001E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.840000E-07,-3.599999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.820000E-07,-6.400000E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.800000E-07,-5.200000E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.780000E-07,-7.199999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.760000E-07,-2.800000E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.740000E-07,-4.000000E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-2.720000E-07,-5.999999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.700000E-07,-4.400001E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.680000E-07,-5.600001E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-2.660000E-07,-4.000000E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-2.640000E-07,-4.400001E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-2.620000E-07,-4.400001E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.600000E-07,-7.199999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.580000E-07,-4.000000E-04,+1.199998E-03,-1.000000E-02,-1.810000E+00
-2.560000E-07,-4.400001E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.540000E-07,-5.200000E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-2.520000E-07,-4.799999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.500000E-07,-4.799999E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-2.480000E-07,-5.200000E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.460000E-07,-4.400001E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-2.440000E-07,-4.400001E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.420000E-07,-8.399999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.400000E-07,-3.199999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.380000E-07,-7.199999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.360000E-07,-1.999999E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-2.340000E-07,-6.400000E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.320000E-07,-2.800000E-04,+1.199998E-03,-1.000000E-02,-1.790000E+00
-2.300000E-07,-6.800001E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.280000E-07,-2.400000E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-2.260000E-07,-4.799999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.240000E-07,-5.600001E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-2.220000E-07,-5.600001E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.200000E-07,-5.200000E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.180000E-07,-4.000000E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.160000E-07,-5.999999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.140000E-07,-3.599999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.120000E-07,-7.600000E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-2.100000E-07,-3.599999E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-2.080000E-07,-5.600001E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-2.060000E-07,-5.200000E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-2.040000E-07,-5.999999E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-2.020000E-07,-5.200000E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-2.000000E-07,-4.400001E-04,+3.999993E-04,-1.000000E-02,-1.790000E+00
-1.980000E-07,-4.799999E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.960000E-07,-3.599999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-1.940000E-07,-5.600001E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-1.920000E-07,-1.999999E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.900000E-07,-5.600001E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.880000E-07,-3.599999E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.860000E-07,-6.400000E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-1.840000E-07,-5.600001E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.820000E-07,-6.400000E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.800000E-07,-3.599999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-1.780000E-07,-4.000000E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-1.760000E-07,-7.600000E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.740000E-07,-3.199999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-1.720000E-07,-5.999999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-1.700000E-07,-4.400001E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-1.680000E-07,-6.400000E-04,-3.999993E-04,-1.000000E-02,-1.830000E+00
-1.660000E-07,-4.400001E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.640000E-07,-8.000000E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-1.620000E-07,-3.199999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-1.600000E-07,-5.200000E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.580000E-07,-5.600001E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.560000E-07,-5.200000E-04,+1.199998E-03,-1.000000E-02,-1.810000E+00
-1.540000E-07,-6.800001E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.520000E-07,-5.200000E-04,+3.999993E-04,-1.000000E-02,-1.830000E+00
-1.500000E-07,-4.799999E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.480000E-07,-3.199999E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.460000E-07,-7.199999E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.440000E-07,-4.000000E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-1.420000E-07,-6.800001E-04,-1.200002E-03,-1.000000E-02,-1.810000E+00
-1.400000E-07,-3.599999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-1.380000E-07,-7.199999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-1.360000E-07,-4.000000E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-1.340000E-07,-7.600000E-04,-1.200002E-03,-1.000000E-02,-1.810000E+00
-1.320000E-07,-7.999991E-05,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.300000E-07,-5.999999E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.280000E-07,-5.600001E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.260000E-07,-5.999999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-1.240000E-07,-4.799999E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
