x,y,z,Channel 2,Channel 3,Channel 4
27.5,0.0,0.0,136,149,503
27.5,0.0,-65.0,75,138,138
27.5,0.0,-130.0,77,153,210
27.5,-65.0,0.0,68,79,137
27.5,-65.0,-65.0,78,95,124
27.5,-65.0,-130.0,82,108,79
27.5,-130.0,0.0,58,68,20
27.5,-130.0,-65.0,55,69,16
27.5,-130.0,-130.0,72,83,15
27.5,-195.0,0.0,47,40,31
27.5,-195.0,-65.0,60,57,67
27.5,-195.0,-130.0,51,48,41
27.5,-260.0,0.0,50,55,33
27.5,-260.0,-65.0,32,49,31
27.5,-260.0,-130.0,51,41,32
92.5,0.0,0.0,66,85,794
92.5,0.0,-65.0,55,162,900
92.5,0.0,-130.0,104,261,928
92.5,-65.0,0.0,72,87,452
92.5,-65.0,-65.0,85,112,481
92.5,-65.0,-130.0,85,125,544
92.5,-130.0,0.0,66,71,279
92.5,-130.0,-65.0,61,83,319
92.5,-130.0,-130.0,71,93,282
92.5,-195.0,0.0,56,63,224
92.5,-195.0,-65.0,65,54,197
92.5,-195.0,-130.0,71,58,212
92.5,-260.0,0.0,44,44,118
92.5,-260.0,-65.0,69,72,146
92.5,-260.0,-130.0,70,66,143
157.5,0.0,0.0,101,131,771
157.5,0.0,-65.0,101,198,923
157.5,0.0,-130.0,161,316,908
157.5,-65.0,0.0,111,116,535
157.5,-65.0,-65.0,93,151,657
157.5,-65.0,-130.0,170,183,610
157.5,-130.0,0.0,83,95,479
157.5,-130.0,-65.0,71,120,533
157.5,-130.0,-130.0,103,124,555
157.5,-195.0,0.0,83,94,347
157.5,-195.0,-65.0,89,106,358
157.5,-195.0,-130.0,97,116,423
157.5,-260.0,0.0,57,95,227
157.5,-260.0,-65.0,80,121,286
157.5,-260.0,-130.0,79,119,264
222.5,0.0,0.0,104,159,579
222.5,0.0,-65.0,114,240,702
222.5,0.0,-130.0,198,312,670
222.5,-65.0,0.0,91,148,431
222.5,-65.0,-65.0,181,275,515
222.5,-65.0,-130.0,251,364,567
222.5,-130.0,0.0,187,458,547
222.5,-130.0,-65.0,499,1028,689
222.5,-130.0,-130.0,542,1112,661
222.5,-195.0,0.0,522,718,534
222.5,-195.0,-65.0,648,802,535
222.5,-195.0,-130.0,423,834,511
222.5,-260.0,0.0,358,618,358
222.5,-260.0,-65.0,368,559,356
222.5,-260.0,-130.0,503,884,403
287.5,0.0,0.0,603,1227,584
287.5,0.0,-65.0,716,1067,557
287.5,0.0,-130.0,584,783,547
287.5,-65.0,0.0,263,723,510
287.5,-65.0,-65.0,424,736,598
287.5,-65.0,-130.0,521,695,541
287.5,-130.0,0.0,253,568,356
287.5,-130.0,-65.0,437,760,500
287.5,-130.0,-130.0,568,890,590
287.5,-195.0,0.0,416,730,462
287.5,-195.0,-65.0,349,306,270
287.5,-195.0,-130.0,173,141,143
287.5,-260.0,0.0,54,68,141
287.5,-260.0,-65.0,24,40,126
287.5,-260.0,-130.0,20,62,110
352.5,0.0,0.0,58,93,269
352.5,0.0,-65.0,121,138,300
352.5,0.0,-130.0,181,135,242
352.5,-65.0,0.0,83,68,173
352.5,-65.0,-65.0,82,78,182
352.5,-65.0,-130.0,187,118,158
352.5,-130.0,0.0,39,55,134
352.5,-130.0,-65.0,60,69,174
352.5,-130.0,-130.0,126,65,127
352.5,-195.0,0.0,2,43,157
352.5,-195.0,-65.0,5,51,188
352.5,-195.0,-130.0,47,73,179
352.5,-260.0,0.0,43,45,143
352.5,-260.0,-65.0,63,36,142
352.5,-260.0,-130.0,43,46,114
