x,y,z,Channel 2,Channel 3,Channel 4
27.5,0.0,0.0,41,87,743
27.5,0.0,-65.0,68,108,901
27.5,0.0,-130.0,55,134,968
27.5,-65.0,0.0,39,73,648
27.5,-65.0,-65.0,69,91,714
27.5,-65.0,-130.0,65,107,777
27.5,-130.0,0.0,57,55,502
27.5,-130.0,-65.0,61,64,461
27.5,-130.0,-130.0,68,76,507
27.5,-195.0,0.0,40,49,299
27.5,-195.0,-65.0,46,66,324
27.5,-195.0,-130.0,50,62,330
27.5,-260.0,0.0,41,38,192
27.5,-260.0,-65.0,52,52,198
27.5,-260.0,-130.0,49,49,204
92.5,0.0,0.0,52,120,574
92.5,0.0,-65.0,80,171,796
92.5,0.0,-130.0,106,234,769
92.5,-65.0,0.0,52,80,515
92.5,-65.0,-65.0,84,136,562
92.5,-65.0,-130.0,112,160,611
92.5,-130.0,0.0,51,61,466
92.5,-130.0,-65.0,80,95,497
92.5,-130.0,-130.0,94,99,538
92.5,-195.0,0.0,64,44,287
92.5,-195.0,-65.0,67,74,323
92.5,-195.0,-130.0,80,79,338
92.5,-260.0,0.0,58,56,214
92.5,-260.0,-65.0,72,68,241
92.5,-260.0,-130.0,73,65,256
157.5,0.0,0.0,75,149,702
157.5,0.0,-65.0,117,185,877
157.5,0.0,-130.0,164,348,967
157.5,-65.0,0.0,82,141,687
157.5,-65.0,-65.0,129,159,714
157.5,-65.0,-130.0,153,226,727
157.5,-130.0,0.0,58,135,605
157.5,-130.0,-65.0,140,242,671
157.5,-130.0,-130.0,166,162,583
157.5,-195.0,0.0,82,94,486
157.5,-195.0,-65.0,123,126,355
157.5,-195.0,-130.0,113,481,711
157.5,-260.0,0.0,293,890,603
157.5,-260.0,-65.0,250,689,523
157.5,-260.0,-130.0,349,1024,485
222.5,0.0,0.0,260,863,880
222.5,0.0,-65.0,73,514,594
222.5,0.0,-130.0,17,349,494
222.5,-65.0,0.0,46,264,287
222.5,-65.0,-65.0,61,464,447
222.5,-65.0,-130.0,60,316,352
222.5,-130.0,0.0,17,379,428
222.5,-130.0,-65.0,21,550,303
222.5,-130.0,-130.0,25,411,313
222.5,-195.0,0.0,143,274,270
222.5,-195.0,-65.0,77,273,521
222.5,-195.0,-130.0,210,294,409
222.5,-260.0,0.0,23,198,291
222.5,-260.0,-65.0,40,102,163
222.5,-260.0,-130.0,44,160,174
287.5,0.0,0.0,9,165,655
287.5,0.0,-65.0,9,177,497
287.5,0.0,-130.0,131,344,599
287.5,-65.0,0.0,26,128,552
287.5,-65.0,-65.0,8,206,490
287.5,-65.0,-130.0,16,234,524
287.5,-130.0,0.0,11,54,222
287.5,-130.0,-65.0,7,60,249
287.5,-130.0,-130.0,9,60,197
287.5,-195.0,0.0,7,25,192
287.5,-195.0,-65.0,2,34,169
287.5,-195.0,-130.0,1,39,179
287.5,-260.0,0.0,26,18,162
287.5,-260.0,-65.0,25,24,127
287.5,-260.0,-130.0,5,25,142
352.5,0.0,0.0,39,40,295
352.5,0.0,-65.0,51,63,272
352.5,0.0,-130.0,77,77,329
352.5,-65.0,0.0,36,43,251
352.5,-65.0,-65.0,36,41,295
352.5,-65.0,-130.0,94,62,299
352.5,-130.0,0.0,36,22,237
352.5,-130.0,-65.0,49,47,245
352.5,-130.0,-130.0,73,48,261
352.5,-195.0,0.0,17,37,115
352.5,-195.0,-65.0,25,28,124
352.5,-195.0,-130.0,0,48,142
352.5,-260.0,0.0,26,19,84
352.5,-260.0,-65.0,27,30,125
352.5,-260.0,-130.0,32,26,106
