x,y,z,Channel 2,Channel 3,Channel 4
0,0,0,1528,818,635
0,0,-10,1539,784,666
0,0,-20,1604,866,630
0,0,-30,1609,890,651
0,0,-40,1593,867,630
0,0,-50,1620,908,601
0,0,-60,1672,933,631
0,0,-70,1652,896,641
0,0,-80,1689,940,654
0,0,-90,1673,917,662
0,0,-100,1681,993,648
0,0,-110,1706,978,658
0,0,-120,1693,983,638
0,0,-130,1701,1000,628
0,-10,0,1514,773,622
0,-10,-10,1534,782,640
0,-10,-20,1528,793,582
0,-10,-30,1587,797,617
0,-10,-40,1572,855,619
0,-10,-50,1610,858,558
0,-10,-60,1630,883,631
0,-10,-70,1672,905,643
0,-10,-80,1632,932,617
0,-10,-90,1641,946,652
0,-10,-100,1647,947,677
0,-10,-110,1667,945,676
0,-10,-120,1669,963,664
0,-10,-130,1670,956,667
0,-20,0,1491,722,537
0,-20,-10,1480,721,539
0,-20,-20,1491,748,557
0,-20,-30,1533,840,567
0,-20,-40,1540,812,553
0,-20,-50,1563,830,566
0,-20,-60,1601,816,582
0,-20,-70,1563,865,573
0,-20,-80,1625,877,582
0,-20,-90,1621,903,569
0,-20,-100,1629,833
0,-20,-110,1622,975,564
0,-20,-120,1611,932,568
0,-20,-130,1631,940,569
0,-30,0,1459,734,679
0,-30,-10,1475,751,712
0,-30,-20,1487,782,533
0,-30,-30,1520,769,640
0,-30,-40,1501,778,634
0,-30,-50,1560,781,511
0,-30,-60,1543,864,535
0,-30,-70,1590,878,664
0,-30,-80,1593,892,682
0,-30,-90,1607,934,551
0,-30,-100,1601,955,668
0,-30,-110,1627,958,706
0,-30,-120,1626,968,672
0,-30,-130,1651,971,735
0,-40,0,1455,816,676
0,-40,-10,1442,813,644
0,-40,-20,1489,858,521
0,-40,-30,1495,875,730
0,-40,-40,1516,868,691
0,-40,-50,1514,823,579
0,-40,-60,1552,894,548
0,-40,-70,1532,910,732
0,-40,-80,1537,947,688
0,-40,-90,1552,942,618
0,-40,-100,1569,937,648
0,-40,-110,1540,970,735
0,-40,-120,1593,938,673
0,-40,-130,1591,967,675
0,-50,0,1423,779,656
0,-50,-10,1436,793,667
0,-50,-20,1425,762,658
0,-50,-30,1485,834,699
0,-50,-40,1461,828,735
0,-50,-50,1474,841,660
0,-50,-60,1505,853,531
0,-50,-70,1512,825,700
0,-50,-80,1511,873,547
0,-50,-90,1505,871,504
0,-50,-100,1514,910,573
0,-50,-110,1531,909,649
0,-50,-120,1539,896,606
0,-50,-130,1517,926,606
0,-60,0,1365,710,553
0,-60,-10,1410,722,521
0,-60,-20,1414,747,553
0,-60,-30,1413,768,637
0,-60,-40,1439,754,629
0,-60,-50,1434,781,510
0,-60,-60,1471,777,457
0,-60,-70,1437,791,608
0,-60,-80,1447,781,487
0,-60,-90,1449,790,461
0,-60,-100,1477,802,587
0,-60,-110,1478,792,658
0,-60,-120,1480,800,591
0,-60,-130,1494,859,618
0,-70,0,1339,678,540
0,-70,-10,1378,623,496
0,-70,-20,1348,689,491
0,-70,-30,1377,691,563
0,-70,-40,1420,710,516
0,-70,-50,1382,694,461
0,-70,-60
