Second,Temperature
5316,15.0
6660,10.0
7386,6.0
8363,4.0
10336,0.9
11210,0.4
14979,-1.9
18387,-8.5
20771,-10.7
24479,-12.0
26829,-15.6
28737,-17.0
29731,-18.0
30956,-19.0
33214,-19.7
34289,-20.0
36543,-20.7
37754,-21.0
40844,-21.5
44070,-22.6
47134,-23.2
50504,-23.7
53489,-23.9
56317,-24.5
57917,-25.0
62801,-25.3
65247,-25.4
67315,-25.5
70223,-25.76
72601,-25.8
74820,-26.1
78902,-26.5
82901,-26.6
84610,-26.6
86565,-26.7
89146,-26.8
91478,-27.0
93648,-27.1
96236,-27.3
98722,-27.5
104171,-27.7
108027,-27.8
110733,-27.9
112143,-28.0
116600,-28.1
120140,-28.3
128466,-28.4
133531,-31.9
144723,-28.9
153141,-29.0
158573,-29.1
160053,-29.4
169542,-29.5
175993,-29.6
177904,-29.8
180263,-29.9
183594,-30.0
188818,-30.1
193510,-30.3
199443,-30.4
206315,-30.5
211841,-30.6
216967,-30.7
219457,-30.8
222093,-30.9
223918,-31.0
226755,-31.1
229839,-31.2
234388,-31.3
242965,-31.4
244447,-31.5
248246,-31.6
250071,-31.7
254795,-31.8
258428,-31.9
263728,-32.0
267385,-32.1
270683,-32.2
275313,-32.3
277937,-32.4
280365,-32.5
284704,-32.6
286990,-32.7
288979,-32.8
292007,-32.9
295718,-33.0
301526,-33.1
304157,-33.2
305959,-33.3
313144,-33.4
329553,-33.5
338222,-33.6
344506,-33.7
353991,-33.8
357582,-33.9
368035,-34.0
381894,-34.1
385036,-34.2
390891,-34.3
400802,-34.4
412550,-34.5
420038,-34.7
427973,-34.8
430906,-34.9
437895,-35.0
445351,-35.1
451906,-35.2
454802,-35.3
459909,-35.4
472040,-35.6
480925,-35.7
485342,-35.8
489470,-35.9
497591,-36.0
514108,-36.1
537170,-36.2
540350,-36.3
581865,-36.5
586144,-36.6
588839,-36.6
591133,-36.6
593694,-36.7
595989,-36.7
597717,-36.7
599253,-36.7
601745,-36.8 
